stage,index,millis,note
chunk_acquire,0,15.5355,had_to_load
snapshot,0,1.2763,had_to_load
column_scan,0,5.8261,unsafe
chunk_acquire,1,21.4899,had_to_load
snapshot,1,1.3678,had_to_load
column_scan,1,11.7164,safe
chunk_acquire,2,19.1499,had_to_load
snapshot,2,0.1614,had_to_load
column_scan,2,0.3964,unsafe
chunk_acquire,3,14.4151,had_to_load
snapshot,3,0.1288,had_to_load
column_scan,3,0.1085,unsafe
chunk_acquire,4,14.6323,had_to_load
snapshot,4,0.1134,had_to_load
column_scan,4,0.4855,unsafe
chunk_acquire,5,14.5097,had_to_load
snapshot,5,0.1239,had_to_load
column_scan,5,0.1172,unsafe
chunk_acquire,6,15.7164,had_to_load
snapshot,6,0.1358,had_to_load
column_scan,6,0.2537,unsafe
chunk_acquire,7,45.9306,had_to_load
snapshot,7,0.1291,had_to_load
column_scan,7,0.2591,unsafe
chunk_acquire,8,7.9855,had_to_load
snapshot,8,0.0964,had_to_load
column_scan,8,0.1852,unsafe
chunk_acquire,9,3.0402,had_to_load
snapshot,9,0.0994,had_to_load
column_scan,9,0.2289,unsafe
chunk_acquire,10,4.3355,had_to_load
snapshot,10,0.1165,had_to_load
column_scan,10,0.2010,unsafe
chunk_acquire,11,4.2603,had_to_load
snapshot,11,0.2501,had_to_load
column_scan,11,0.1895,unsafe
chunk_acquire,12,6.1893,had_to_load
snapshot,12,0.1168,had_to_load
column_scan,12,0.1853,unsafe
chunk_acquire,13,19.7247,had_to_load
snapshot,13,0.0901,had_to_load
column_scan,13,0.2159,unsafe
chunk_acquire,14,14.9063,had_to_load
snapshot,14,0.1974,had_to_load
column_scan,14,0.2634,unsafe
chunk_acquire,15,15.8674,had_to_load
snapshot,15,0.0953,had_to_load
column_scan,15,0.1694,unsafe
chunk_acquire,16,5.0228,had_to_load
snapshot,16,0.0955,had_to_load
column_scan,16,0.1118,unsafe
chunk_acquire,17,17.0617,had_to_load
snapshot,17,0.1261,had_to_load
column_scan,17,0.2534,safe
chunk_acquire,18,4.1629,had_to_load
snapshot,18,0.0895,had_to_load
column_scan,18,0.1851,unsafe
chunk_acquire,19,5.6311,had_to_load
snapshot,19,0.0772,had_to_load
column_scan,19,0.1698,unsafe
chunk_acquire,20,9.6970,had_to_load
snapshot,20,1.9291,had_to_load
column_scan,20,0.2283,unsafe
chunk_acquire,21,11.6743,had_to_load
snapshot,21,0.0995,had_to_load
column_scan,21,0.1980,unsafe
chunk_acquire,22,5.7783,had_to_load
snapshot,22,0.0850,had_to_load
column_scan,22,0.1025,unsafe
chunk_acquire,23,22.6822,had_to_load
snapshot,23,0.0916,had_to_load
column_scan,23,0.1904,unsafe
chunk_acquire,24,3.9822,had_to_load
snapshot,24,0.1135,had_to_load
column_scan,24,0.3213,unsafe
chunk_acquire,25,2.2476,had_to_load
snapshot,25,0.0849,had_to_load
column_scan,25,0.1091,unsafe
chunk_acquire,26,14.0723,had_to_load
snapshot,26,0.0880,had_to_load
column_scan,26,0.2952,unsafe
chunk_acquire,27,12.1512,had_to_load
snapshot,27,0.1101,had_to_load
column_scan,27,0.2468,safe
chunk_acquire,28,18.1454,had_to_load
snapshot,28,0.0940,had_to_load
column_scan,28,0.8453,unsafe
chunk_acquire,29,13.0750,had_to_load
snapshot,29,0.0844,had_to_load
column_scan,29,0.0952,unsafe
chunk_acquire,30,14.8383,had_to_load
snapshot,30,0.0825,had_to_load
column_scan,30,0.0943,unsafe
chunk_acquire,31,15.5658,had_to_load
snapshot,31,0.0819,had_to_load
column_scan,31,1.4161,unsafe
chunk_acquire,32,32.9350,had_to_load
snapshot,32,0.0864,had_to_load
column_scan,32,0.1067,unsafe
chunk_acquire,33,11.0712,had_to_load
snapshot,33,0.1074,had_to_load
column_scan,33,0.2103,unsafe
chunk_acquire,34,15.0987,had_to_load
snapshot,34,0.0826,had_to_load
column_scan,34,0.1419,unsafe
chunk_acquire,35,15.3005,had_to_load
snapshot,35,0.1755,had_to_load
column_scan,35,0.1139,unsafe
chunk_acquire,36,14.7803,had_to_load
snapshot,36,0.0998,had_to_load
column_scan,36,0.1474,unsafe
chunk_acquire,37,15.2707,had_to_load
snapshot,37,0.1563,had_to_load
column_scan,37,0.1482,unsafe
chunk_acquire,38,16.3191,had_to_load
snapshot,38,0.1187,had_to_load
column_scan,38,0.1069,unsafe
chunk_acquire,39,14.7242,had_to_load
snapshot,39,0.1367,had_to_load
column_scan,39,0.1484,unsafe
chunk_acquire,40,2.4950,had_to_load
snapshot,40,0.0736,had_to_load
column_scan,40,0.0940,unsafe
chunk_acquire,41,2.6706,had_to_load
snapshot,41,0.0849,had_to_load
column_scan,41,0.1257,unsafe
chunk_acquire,42,13.9095,had_to_load
snapshot,42,0.1162,had_to_load
column_scan,42,0.2151,unsafe
chunk_acquire,43,14.8892,had_to_load
snapshot,43,0.0806,had_to_load
column_scan,43,0.0905,unsafe
chunk_acquire,44,14.9169,had_to_load
snapshot,44,0.0760,had_to_load
column_scan,44,0.1902,unsafe
chunk_acquire,45,15.4295,had_to_load
snapshot,45,0.0931,had_to_load
column_scan,45,0.1541,unsafe
chunk_acquire,46,1.6183,had_to_load
snapshot,46,0.0569,had_to_load
column_scan,46,0.0999,safe
chunk_acquire,47,1.6137,had_to_load
snapshot,47,0.0620,had_to_load
column_scan,47,0.1003,unsafe
chunk_acquire,48,8.2534,had_to_load
snapshot,48,0.0757,had_to_load
column_scan,48,0.0852,unsafe
chunk_acquire,49,1.7565,had_to_load
snapshot,49,0.0777,had_to_load
column_scan,49,0.1037,unsafe
chunk_acquire,50,13.7981,had_to_load
snapshot,50,0.0819,had_to_load
column_scan,50,0.1286,unsafe
chunk_acquire,51,15.0180,had_to_load
snapshot,51,0.0680,had_to_load
column_scan,51,0.0903,unsafe
chunk_acquire,52,14.6062,had_to_load
snapshot,52,0.0727,had_to_load
