metric,tick,candidates,validated,generated_total,validated_total,target
candidate_only,1,10,2,12,2,14
candidate_only,2,12,4,16,4,14
candidate_only,3,12,6,18,6,14
candidate_only,4,12,8,20,8,14
candidate_only,5,12,10,22,10,14
candidate_only,6,12,12,24,12,14
candidate_only,7,12,14,26,14,14
candidate_only,8,12,14,28,16,14
candidate_only,9,12,14,30,18,14
candidate_only,10,12,14,32,20,14
candidate_only,11,12,14,34,22,14
candidate_only,12,12,14,36,24,14
candidate_only,13,12,14,38,26,14
candidate_only,14,12,14,40,28,14
candidate_only,15,12,14,42,30,14
candidate_only,16,12,14,44,32,14
candidate_only,17,12,14,46,34,14
candidate_only,18,12,14,48,36,14
candidate_only,19,12,14,50,38,14
candidate_only,20,12,14,52,40,14
candidate_only,21,12,14,54,42,14
candidate_only,22,12,14,56,44,14
candidate_only,23,12,14,58,46,14
candidate_only,24,12,14,60,48,14
candidate_only,25,12,14,62,50,14
candidate_only,26,12,14,64,52,14
candidate_only,27,12,14,66,54,14
candidate_only,28,12,14,68,56,14
candidate_only,29,12,14,70,58,14
candidate_only,30,12,14,72,60,14
candidate_only,31,12,14,74,62,14
candidate_only,32,12,14,76,64,14
candidate_only,33,12,14,78,66,14
candidate_only,34,12,14,80,68,14
candidate_only,35,12,14,82,70,14
candidate_only,36,12,14,84,72,14
candidate_only,37,12,14,86,74,14
candidate_only,38,12,14,88,76,14
candidate_only,39,12,14,90,78,14
candidate_only,40,12,14,92,80,14
candidate_only,41,12,14,94,82,14
candidate_only,42,12,14,96,84,14
candidate_only,43,12,14,98,86,14
candidate_only,44,12,14,100,88,14
candidate_only,45,12,14,102,90,14
candidate_only,46,12,14,104,92,14
candidate_only,47,12,14,106,94,14
candidate_only,48,12,14,108,96,14
candidate_only,49,12,14,110,98,14
candidate_only,50,12,14,112,100,14
candidate_only,51,12,14,114,102,14
candidate_only,52,12,14,116,104,14
candidate_only,53,12,14,118,106,14
candidate_only,54,12,14,120,108,14
candidate_only,55,12,14,122,110,14
candidate_only,56,12,14,124,112,14
candidate_only,57,12,14,126,114,14
candidate_only,58,12,14,128,116,14
candidate_only,59,12,14,130,118,14
candidate_only,60,12,14,132,120,14
validated_plus_candidate,1,10,2,12,2,14
validated_plus_candidate,2,10,4,14,4,14
validated_plus_candidate,3,8,6,14,6,14
validated_plus_candidate,4,6,8,14,8,14
validated_plus_candidate,5,4,10,14,10,14
validated_plus_candidate,6,2,12,14,12,14
validated_plus_candidate,7,0,14,14,14,14
validated_plus_candidate,8,0,14,14,14,14
validated_plus_candidate,9,0,14,14,14,14
validated_plus_candidate,10,0,14,14,14,14
validated_plus_candidate,11,0,14,14,14,14
validated_plus_candidate,12,0,14,14,14,14
validated_plus_candidate,13,0,14,14,14,14
validated_plus_candidate,14,0,14,14,14,14
validated_plus_candidate,15,0,14,14,14,14
validated_plus_candidate,16,0,14,14,14,14
validated_plus_candidate,17,0,14,14,14,14
validated_plus_candidate,18,0,14,14,14,14
validated_plus_candidate,19,0,14,14,14,14
validated_plus_candidate,20,0,14,14,14,14
validated_plus_candidate,21,0,14,14,14,14
validated_plus_candidate,22,0,14,14,14,14
validated_plus_candidate,23,0,14,14,14,14
validated_plus_candidate,24,0,14,14,14,14
validated_plus_candidate,25,0,14,14,14,14
validated_plus_candidate,26,0,14,14,14,14
validated_plus_candidate,27,0,14,14,14,14
validated_plus_candidate,28,0,14,14,14,14
validated_plus_candidate,29,0,14,14,14,14
validated_plus_candidate,30,0,14,14,14,14
validated_plus_candidate,31,0,14,14,14,14
validated_plus_candidate,32,0,14,14,14,14
validated_plus_candidate,33,0,14,14,14,14
validated_plus_candidate,34,0,14,14,14,14
validated_plus_candidate,35,0,14,14,14,14
validated_plus_candidate,36,0,14,14,14,14
validated_plus_candidate,37,0,14,14,14,14
validated_plus_candidate,38,0,14,14,14,14
validated_plus_candidate,39,0,14,14,14,14
validated_plus_candidate,40,0,14,14,14,14
validated_plus_candidate,41,0,14,14,14,14
validated_plus_candidate,42,0,14,14,14,14
validated_plus_candidate,43,0,14,14,14,14
validated_plus_candidate,44,0,14,14,14,14
validated_plus_candidate,45,0,14,14,14,14
validated_plus_candidate,46,0,14,14,14,14
validated_plus_candidate,47,0,14,14,14,14
validated_plus_candidate,48,0,14,14,14,14
validated_plus_candidate,49,0,14,14,14,14
validated_plus_candidate,50,0,14,14,14,14
validated_plus_candidate,51,0,14,14,14,14
validated_plus_candidate,52,0,14,14,14,14
validated_plus_candidate,53,0,14,14,14,14
validated_plus_candidate,54,0,14,14,14,14
validated_plus_candidate,55,0,14,14,14,14
validated_plus_candidate,56,0,14,14,14,14
validated_plus_candidate,57,0,14,14,14,14
validated_plus_candidate,58,0,14,14,14,14
validated_plus_candidate,59,0,14,14,14,14
validated_plus_candidate,60,0,14,14,14,14
