stage,index,millis,note
chunk_acquire,0,15.9167,had_to_load
snapshot,0,1.2760,had_to_load
column_scan,0,1.8810,unsafe
chunk_acquire,1,11.4798,had_to_load
snapshot,1,0.2964,had_to_load
column_scan,1,1.5607,safe
chunk_acquire,2,13.5655,had_to_load
snapshot,2,0.1380,had_to_load
column_scan,2,0.7821,unsafe
chunk_acquire,3,14.8497,had_to_load
snapshot,3,0.1559,had_to_load
column_scan,3,0.1274,unsafe
chunk_acquire,4,15.2960,had_to_load
snapshot,4,0.1269,had_to_load
column_scan,4,1.0695,unsafe
chunk_acquire,5,14.6180,had_to_load
snapshot,5,0.2880,had_to_load
column_scan,5,0.1423,unsafe
chunk_acquire,6,14.5857,had_to_load
snapshot,6,0.1799,had_to_load
column_scan,6,0.3605,unsafe
chunk_acquire,7,14.8572,had_to_load
snapshot,7,0.1229,had_to_load
column_scan,7,0.2816,unsafe
chunk_acquire,8,19.1019,had_to_load
snapshot,8,0.1876,had_to_load
column_scan,8,0.2473,unsafe
chunk_acquire,9,15.3382,had_to_load
snapshot,9,0.1003,had_to_load
column_scan,9,0.5455,unsafe
chunk_acquire,10,15.4389,had_to_load
snapshot,10,0.0987,had_to_load
column_scan,10,0.2096,unsafe
chunk_acquire,11,14.3690,had_to_load
snapshot,11,0.1014,had_to_load
column_scan,11,0.2001,unsafe
chunk_acquire,12,2.7360,had_to_load
snapshot,12,0.0863,had_to_load
column_scan,12,0.6469,unsafe
chunk_acquire,13,10.5905,had_to_load
snapshot,13,0.1054,had_to_load
column_scan,13,0.7103,unsafe
chunk_acquire,14,14.9357,had_to_load
snapshot,14,0.1348,had_to_load
column_scan,14,0.2723,unsafe
chunk_acquire,15,15.0957,had_to_load
snapshot,15,0.1084,had_to_load
column_scan,15,0.1958,unsafe
chunk_acquire,16,13.5740,had_to_load
snapshot,16,0.1086,had_to_load
column_scan,16,0.1179,unsafe
chunk_acquire,17,14.8959,had_to_load
snapshot,17,0.1927,had_to_load
column_scan,17,0.2250,safe
chunk_acquire,18,15.7592,had_to_load
snapshot,18,0.1037,had_to_load
column_scan,18,0.2116,unsafe
chunk_acquire,19,5.9193,had_to_load
snapshot,19,0.1054,had_to_load
column_scan,19,0.2641,unsafe
chunk_acquire,20,8.8032,had_to_load
snapshot,20,0.1059,had_to_load
column_scan,20,0.3073,unsafe
chunk_acquire,21,14.5123,had_to_load
snapshot,21,0.1420,had_to_load
column_scan,21,0.2319,unsafe
chunk_acquire,22,14.3062,had_to_load
snapshot,22,0.1100,had_to_load
column_scan,22,0.1196,unsafe
chunk_acquire,23,14.8912,had_to_load
snapshot,23,0.1012,had_to_load
column_scan,23,0.4330,unsafe
chunk_acquire,24,7.3702,had_to_load
snapshot,24,0.0947,had_to_load
column_scan,24,0.3536,unsafe
chunk_acquire,25,15.0826,had_to_load
snapshot,25,0.1008,had_to_load
column_scan,25,0.1232,unsafe
chunk_acquire,26,16.3945,had_to_load
snapshot,26,0.0859,had_to_load
column_scan,26,0.0968,unsafe
chunk_acquire,27,13.8337,had_to_load
snapshot,27,5.1079,had_to_load
column_scan,27,0.3737,safe
chunk_acquire,28,13.5625,had_to_load
snapshot,28,0.1121,had_to_load
column_scan,28,0.1692,unsafe
chunk_acquire,29,4.3030,had_to_load
snapshot,29,0.0733,had_to_load
column_scan,29,0.0890,unsafe
chunk_acquire,30,2.8622,had_to_load
snapshot,30,0.3147,had_to_load
column_scan,30,0.0936,unsafe
chunk_acquire,31,18.9073,had_to_load
snapshot,31,0.0893,had_to_load
column_scan,31,15.3284,unsafe
chunk_acquire,32,14.9247,had_to_load
snapshot,32,0.0892,had_to_load
column_scan,32,0.1049,unsafe
chunk_acquire,33,15.2057,had_to_load
snapshot,33,0.0897,had_to_load
column_scan,33,0.2674,unsafe
chunk_acquire,34,16.1112,had_to_load
snapshot,34,0.1165,had_to_load
column_scan,34,0.1525,unsafe
chunk_acquire,35,14.6088,had_to_load
snapshot,35,0.0671,had_to_load
column_scan,35,0.1604,unsafe
chunk_acquire,36,2.8492,had_to_load
snapshot,36,0.0729,had_to_load
column_scan,36,0.1265,unsafe
chunk_acquire,37,2.2657,had_to_load
snapshot,37,0.0712,had_to_load
column_scan,37,0.1515,unsafe
chunk_acquire,38,2.1245,had_to_load
snapshot,38,0.0630,had_to_load
column_scan,38,0.0803,unsafe
chunk_acquire,39,2.7858,had_to_load
snapshot,39,0.0879,had_to_load
column_scan,39,0.1445,unsafe
chunk_acquire,40,14.1278,had_to_load
snapshot,40,0.0889,had_to_load
column_scan,40,0.1052,unsafe
chunk_acquire,41,2.1013,had_to_load
snapshot,41,0.0666,had_to_load
column_scan,41,0.1516,unsafe
chunk_acquire,42,13.2682,had_to_load
snapshot,42,0.2115,had_to_load
column_scan,42,0.2197,unsafe
chunk_acquire,43,14.7298,had_to_load
snapshot,43,0.1274,had_to_load
column_scan,43,0.1082,unsafe
chunk_acquire,44,15.0830,had_to_load
snapshot,44,0.0911,had_to_load
column_scan,44,0.1431,unsafe
chunk_acquire,45,4.6854,had_to_load
snapshot,45,0.0734,had_to_load
column_scan,45,0.1303,unsafe
chunk_acquire,46,2.1025,had_to_load
snapshot,46,0.0652,had_to_load
column_scan,46,0.1120,safe
chunk_acquire,47,8.0554,had_to_load
snapshot,47,0.1885,had_to_load
column_scan,47,0.2734,unsafe
chunk_acquire,48,2.1223,had_to_load
snapshot,48,0.0831,had_to_load
column_scan,48,0.0955,unsafe
chunk_acquire,49,16.8326,had_to_load
snapshot,49,0.0868,had_to_load
column_scan,49,0.0978,unsafe
chunk_acquire,50,14.9627,had_to_load
snapshot,50,0.0901,had_to_load
column_scan,50,0.1388,unsafe
chunk_acquire,51,14.7796,had_to_load
snapshot,51,0.1817,had_to_load
column_scan,51,0.1130,unsafe
chunk_acquire,52,16.8429,had_to_load
snapshot,52,0.1002,had_to_load
column_scan,52,0.5138,unsafe
chunk_acquire,53,3.3752,had_to_load
snapshot,53,0.0730,had_to_load
column_scan,53,0.0913,unsafe
chunk_acquire,54,9.1492,had_to_load
snapshot,54,0.0813,had_to_load
column_scan,54,0.0966,unsafe
chunk_acquire,55,3.1572,had_to_load
snapshot,55,0.0761,had_to_load
column_scan,55,5.9720,unsafe
chunk_acquire,56,12.1064,had_to_load
snapshot,56,0.1343,had_to_load
column_scan,56,0.1311,unsafe
chunk_acquire,57,15.5548,had_to_load
snapshot,57,0.0883,had_to_load
column_scan,57,0.1776,safe
chunk_acquire,58,15.8586,had_to_load
snapshot,58,0.0862,had_to_load
column_scan,58,0.1347,unsafe
chunk_acquire,59,13.7959,had_to_load
snapshot,59,0.0692,had_to_load
column_scan,59,0.1037,unsafe
chunk_acquire,60,2.4791,had_to_load
snapshot,60,0.1316,had_to_load
column_scan,60,0.1271,safe
chunk_acquire,61,2.0350,had_to_load
snapshot,61,0.0642,had_to_load
column_scan,61,0.0798,unsafe
chunk_acquire,62,1.5061,had_to_load
snapshot,62,0.0567,had_to_load
column_scan,62,0.1063,unsafe
chunk_acquire,63,6.9833,had_to_load
snapshot,63,0.1653,had_to_load
column_scan,63,0.4996,unsafe
load_burst,0,297.105,burst
load_capped,0,108.213,capped
load_burst,1,293.964,burst
load_capped,1,107.925,capped
load_burst,2,274.597,burst
load_capped,2,108.336,capped
load_burst,3,293.890,burst
load_capped,3,138.165,capped
load_burst,4,293.936,burst
load_capped,4,140.753,capped
load_burst,5,293.913,burst
load_capped,5,150.635,capped
load_burst,6,293.937,burst
load_capped,6,181.435,capped
load_burst,7,293.939,burst
load_capped,7,181.259,capped
load_burst,8,293.949,burst
load_capped,8,87.551,capped
load_burst,9,293.960,burst
load_capped,9,85.193,capped
load_burst,10,318.732,burst
load_capped,10,98.860,capped
load_burst,11,331.770,burst
load_capped,11,115.261,capped
load_burst,12,331.834,burst
load_capped,12,101.994,capped
load_burst,13,331.851,burst
load_capped,13,103.858,capped
load_burst,14,331.860,burst
load_capped,14,97.501,capped
load_burst,15,331.868,burst
load_capped,15,138.317,capped
load_burst,16,363.198,burst
load_capped,16,124.268,capped
load_burst,17,363.447,burst
load_capped,17,126.808,capped
load_burst,18,372.959,burst
load_capped,18,111.898,capped
load_burst,19,383.239,burst
load_capped,19,99.811,capped
load_burst,20,398.460,burst
load_capped,20,89.290,capped
load_burst,21,398.793,burst
load_capped,21,122.257,capped
load_burst,22,400.806,burst
load_capped,22,98.933,capped
load_burst,23,414.929,burst
load_capped,23,71.965,capped
load_burst,24,414.763,burst
load_capped,24,73.834,capped
load_burst,25,448.243,burst
load_capped,25,106.875,capped
load_burst,26,1314.454,burst
load_capped,26,104.664,capped
load_burst,27,1367.637,burst
load_capped,27,103.401,capped
load_burst,28,1367.642,burst
load_capped,28,102.954,capped
load_burst,29,1367.610,burst
load_capped,29,76.416,capped
load_burst,30,1367.568,burst
load_capped,30,76.529,capped
load_burst,31,1367.635,burst
load_capped,31,72.779,capped
load_burst,32,1367.658,burst
load_capped,32,148.294,capped
load_burst,33,1367.673,burst
load_capped,33,130.920,capped
load_burst,34,1367.658,burst
